7 Days Ago,Year Ago EPS,Up Last 7 Days,Down Last 30 Days,header,EPS Actual,EPS Est,Surprise %,Next Year,Low Estimate,Price/Earnings (avg. for comparison categories),section,Year Ago Sales,Past 5 Years (per annum),30 Days Ago,Current Estimate,Difference,Sales Growth (year/est),This Year,symbol,Avg. Estimate,90 Days Ago,60 Days Ago,No. of Analysts,Down Last 90 Days,Next Qtr.,Up Last 30 Days,PEG Ratio (avg. for comparison categories),High Estimate,Current Qtr.,Next 5 Years (per annum)
,,,,Sep 13,,,,,,,Earnings History,,,,,0.04,,,AAPL,,,,,,,,,,,
,,,,Dec 13,,,,,,,Earnings History,,,,,0.06,,,AAPL,,,,,,,,,,,
,,,,Mar 14,,,,,,,Earnings History,,,,,0.20,,,AAPL,,,,,,,,,,,
,,,,Jun 13,,,1.90%,,,,Earnings History,,,,,,,,AAPL,,,,,,,,,,,
,,,,Sep 13,,,3.50%,,,,Earnings History,,,,,,,,AAPL,,,,,,,,,,,
,,,,Dec 13,,,3.00%,,,,Earnings History,,,,,,,,AAPL,,,,,,,,,,,
,,,,Mar 14,,,13.70%,,,,Earnings History,,,,,,,,AAPL,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,EPS Trends,,,,1.22,,,,AAPL,,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,EPS Trends,,,,1.34,,,,AAPL,,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Revenue Est,,,,,,3.80%,,MCD,,,,,,,,,,,
,,,,Current Year Dec 14,,,,,,,Revenue Est,,,,,,2.90%,,MCD,,,,,,,,,,,
,,,,Next Year Dec 15,,,,,,,Revenue Est,,,,,,2.80%,,MCD,,,,,,,,,,,
,,,,Jun 13,,1.40,,,,,Earnings History,,,,,,,,MCD,,,,,,,,,,,
,,,,Sep 13,,1.51,,,,,Earnings History,,,,,,,,MCD,,,,,,,,,,,
,,,,Dec 13,,1.39,,,,,Earnings History,,,,,,,,MCD,,,,,,,,,,,
,,,,Mar 14,,1.24,,,,,Earnings History,,,,,,,,MCD,,,,,,,,,,,
,,,,Jun 13,1.38,,,,,,Earnings History,,,,,,,,MCD,,,,,,,,,,,
,,,,Sep 13,1.52,,,,,,Earnings History,,,,,,,,MCD,,,,,,,,,,,
,,,,Dec 13,1.40,,,,,,Earnings History,,,,,,,,MCD,,,,,,,,,,,
,,,,Mar 14,1.21,,,,,,Earnings History,,,,,,,,MCD,,,,,,,,,,,
,,,,Jun 13,,,,,,,Earnings History,,,,,-0.02,,,MCD,,,,,,,,,,,
,,,,Sep 13,,,,,,,Earnings History,,,,,0.01,,,MCD,,,,,,,,,,,
,,,,Dec 13,,,,,,,Earnings History,,,,,0.01,,,MCD,,,,,,,,,,,
,,,,Mar 14,,,,,,,Earnings History,,,,,-0.03,,,MCD,,,,,,,,,,,
,,,,Jun 13,,,-1.40%,,,,Earnings History,,,,,,,,MCD,,,,,,,,,,,
,,,,Sep 13,,,0.70%,,,,Earnings History,,,,,,,,MCD,,,,,,,,,,,
,,,,Dec 13,,,0.70%,,,,Earnings History,,,,,,,,MCD,,,,,,,,,,,
,,,,Mar 14,,,-2.40%,,,,Earnings History,,,,,,,,MCD,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,EPS Trends,,,,1.44,,,,MCD,,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,EPS Trends,,,,1.62,,,,MCD,,,,,,,,,,,
,,,,Current Year Dec 14,,,,,,,EPS Trends,,,,5.76,,,,MCD,,,,,,,,,,,
,,,,Current Year Dec 14,,,,,,,Revenue Est,,,,,,57.10%,,YELP,,,,,,,,,,,
,,,,Next Year Dec 15,,,,,,,Revenue Est,,,,,,43.30%,,YELP,,,,,,,,,,,
,,,,Jun 13,,-0.04,,,,,Earnings History,,,,,,,,YELP,,,,,,,,,,,
,,,,Sep 13,,-0.01,,,,,Earnings History,,,,,,,,YELP,,,,,,,,,,,
,,,,Dec 13,,-0.03,,,,,Earnings History,,,,,,,,YELP,,,,,,,,,,,
,,,,Mar 14,,-0.06,,,,,Earnings History,,,,,,,,YELP,,,,,,,,,,,
,,,,Jun 13,-0.01,,,,,,Earnings History,,,,,,,,YELP,,,,,,,,,,,
,,,,Sep 13,-0.04,,,,,,Earnings History,,,,,,,,YELP,,,,,,,,,,,
,,,,Dec 13,-0.03,,,,,,Earnings History,,,,,,,,YELP,,,,,,,,,,,
,,,,Mar 14,-0.04,,,,,,Earnings History,,,,,,,,YELP,,,,,,,,,,,
